"WO/SO #","Customer","Invoice#","Outgoing Form#","Invoice Date"
"SO-20250686","Wilder Systems LLC","DS-20250537","O2505-064",""
"SO-20250308","Noah Medical Corporation","DS-20250538","O2505-065",""
"SO-20250635","SHI International Corp","DS-20250539","O2505-066",""
"SO-20250597","International Road Dynamics Inc.","DS-20250540","O2505-067",""
"SO-20250623","Boson Motor Inc","DS-20250541","O2505-068",""
"SO-20250626","RailPod Inc.","DS-20250542","O2505-069",""
"SO-20241143","Sami Agtech Inc","DS-20250543","O2505-070",""
"SO-20250712","Xiris Automation Inc.","DS-20250544","O2505-071",""
"SO-20250571","Advantage Electric Supply","DS-20250545","O2505-072",""
"SO-20250551","Aerflite Canada Inc.","DS-20250546","O2505-073",""
"SO-20250479","Concurrent Real-Time, Inc.","DS-20250548","O2505-074",""
"SO-20250524","InflexionPoint, LLC","DS-20250549","O2505-075",""
"SO-20250697","Dataspeed Inc.","DS-20250550","O2505-076",""
"SO-20250708","Joby Aviation","DS-20250551","O2505-077",""
"SO-20250717","Digikey","DS-20250552","O2505-078",""
"SO-20250719","Digikey","DS-20250553","O2505-079",""
"SO-20250500","Aerflite Canada Inc.","DS-20250554","O2505-080",""
"SO-20250490","Boston Scientific","DS-20250555","O2505-081",""
"SO-20250580","Boston Scientific","DS-20250556","O2505-082",""
"SO-20250581","Boston Scientific","DS-20250557","O2505-083",""
"SO-20250339","Maritime Applied Physics Corporation dba BlackSea Technologies","DS-20250558","O2505-084",""
"SO-20250598","Seafloor Systems, Inc","DS-20250561","O2505-085",""
"SO-20250645","Construction Engineering Research Laboratory (CERL)","DS-20250562","O2505-086",""
"SO-20250646","Construction Engineering Research Laboratory (CERL)","DS-20250563","O2505-087",""
"SO-20250705","COAST Automation","DS-20250565","O2505-088",""
"SO-20250689","Higher Ground LLC","DS-20250566","O2505-089",""
"SO-20250689","Higher Ground LLC","DS-20250566","O2505-089",""
"SO-20250689","Higher Ground LLC","DS-20250566","O2505-089",""
"SO-20250397","SIL4 Systems, Inc.","DS-20250567","O2505-090",""
"SO-20250574","University of Wisconsin-Madison","DS-20250568","O2505-091",""
"SO-20250696","Echodyne Corp","DS-20250569","O2505-092",""
"SO-20250680","Construction Engineering Research Laboratory (CERL)","DS-20250573","O2506-001",""
"SO-20250611","Bluewater Autonomy","DS-20250574","O2506-002",""
"SO-20250578","FK MACHINERY LIMITED","DS-20250575","O2506-003",""
"SO-20250424","Alter Biota Inc.","DS-20250576","O2506-004",""
"SO-20250424","Alter Biota Inc.","DS-20250576","O2506-004",""
"SO-20250500","Aerflite Canada Inc.","DS-20250577","O2506-005",""
"SO-20250309","Noah Medical Corporation","DS-20250578","O2506-006",""
"SO-20250663","CCTV.Net","DS-20250579","O2506-007",""
"SO-20250650","TeleSwivel LLC","DS-20250580","O2506-008",""
"SO-20250586","Saronic Technologies","DS-20250581","O2506-009",""
"SO-20250672","L3 HARRIS TECHNOLOGIES INC.","DS-20250582","O2506-010",""
"SO-20250674","L3 HARRIS TECHNOLOGIES INC.","DS-20250583","O2506-011",""
"SO-20250759","California Designs & Systems, Inc.","DS-20250584","O2506-012",""
"SO-20250667","Boston Scientific","DS-20250585","O2506-013",""
"SO-20250741","Boston Scientific","DS-20250586","O2506-014",""
"SO-20250753","Boston Scientific","DS-20250587","O2506-015",""
"SO-20250420","Hyundai America Technical Center, Inc.","DS-20250588","O2506-016",""
"SO-20250421","Hyundai America Technical Center, Inc.","DS-20250588","O2506-016",""
"SO-20250362","Inficon Inc.","DS-20250591","O2506-017",""
"SO-20250536","Triple Ring Technologies, Inc.","DS-20250592","O2506-018",""
"SO-20250360","Maritime Applied Physics Corporation dba BlackSea Technologies","DS-20250593","O2506-019",""
"SO-20250740","Echodyne Corp","DS-20250594","O2506-020",""
"SO-20250735","Uber Technologies","DS-20250595","O2506-021",""
"SO-20250729","Alta Vision Systems","DS-20250596","O2506-022",""
"SO-20250482","Automated Environments","DS-20250597","O2506-023",""
"SO-20250671","Ank Solutions","DS-20250598","O2506-024",""
"SO-20250770","BOCK OPTRONICS INC.","DS-20250599","O2506-025",""
"SO-20250776","Next Imaging, Inc.","DS-20250600","O2506-026",""
"SO-20250766","Data Stagers","DS-20250601","O2506-027",""
"SO-20250738","Physical Sciences Inc.","DS-20250602","O2506-028",""
"SO-20250545","Applied Intuition, Inc.","DS-20250603","O2506-029",""
"SO-20250614","Carnegie Robotics","DS-20250605","O2506-030",""
"SO-20250493","Aerflite Canada Inc.","DS-20250606","O2506-031",""
"SO-20250763","University of California San Diego","DS-20250607","O2506-032",""
"SO-20250786","Tenneco","DS-20250608","O2506-033",""
"SO-20250555","I4 SOLUTION, LLC","DS-20250609","O2506-034",""
"SO-20250782","Intramotev Inc","DS-20250610","O2506-035",""
"SO-20250439","M3 Technology","DS-20250611","O2506-036",""
"SO-20250706","JT4, LLC","DS-20250612","O2506-037",""
"SO-20250690","NASCENT Technology","DS-20250614","O2506-038",""
"SO-20250690","NASCENT Technology","DS-20250614","O2506-038",""
"SO-20250217","Mid-Atlantic Rugged Systems","DS-20250615","O2506-039",""
"SO-20250846","Traysar Inc.","DS-20250616","O2506-040",""
"SO-20240922","FireFly Automatix, Inc.","DS-20250617","O2506-041",""
"SO-20250866","DigiKey","DS-20250619","O2506-042",""
"SO-20250718","CCTV.Net","DS-20250620","O2506-043",""
"SO-20250372","GovSmart, Inc.","DS-20250621","O2506-044",""
"SO-20250450","GovSmart, Inc.","DS-20250623","O2506-045",""
"SO-20241051","Tek 84 Engineering Group","DS-20250625","O2506-046",""
"SO-20250384","M3 Technology","DS-20250626","O2506-047",""
"SO-20250384","M3 Technology","DS-20250626","O2506-047",""
"SO-20241052","Tek 84 Engineering Group","DS-20250627","O2506-048",""
"SO-20250505","AeroVect Technologies Inc.","DS-20250628","O2506-049",""
"SO-20250506","AeroVect Technologies Inc.","DS-20250629","O2506-050",""
"SO-20250606","PerceptView","DS-20250630","O2506-051",""
"SO-20250847","Scout AI Inc.","DS-20250631","O2506-052",""
"SO-20250584","Intellisense Systems, Inc.","DS-20250632","O2506-053",""
"SO-20250730","QDS Systems, Inc.","DS-20250633","O2506-054",""
"SO-20250647","Bisco Industries","DS-20250634","O2506-055",""
"SO-20250734","Seafloor Systems, Inc","DS-20250635","O2506-056",""
"SO-20250078","Maritime Applied Physics Corporation dba BlackSea Technologies","DS-20250636","O2506-057",""
"SO-20250339","Maritime Applied Physics Corporation dba BlackSea Technologies","DS-20250636","O2506-057",""
"SO-20250078","Maritime Applied Physics Corporation dba BlackSea Technologies","DS-20250636","O2506-057",""
"SO-20250078","Maritime Applied Physics Corporation dba BlackSea Technologies","DS-20250636","O2506-057",""
"SO-20250826","Ohio Gravure Technologies Inc","DS-20250637","O2506-058",""
"SO-20250849","Ohio Gravure Technologies Inc","DS-20250638","O2506-059",""
"SO-20250850","InflexionPoint, LLC","DS-20250639","O2506-060",""
"SO-20250666","Construction Engineering Research Laboratory (CERL)","DS-20250640","O2506-061",""
"SO-20250710","Coleman Technologies, Inc. DBA Sciotex","DS-20250645","O2506-062",""
"SO-20250483","Automated Environments","DS-20250646","O2506-063",""
"SO-20250078","Maritime Applied Physics Corporation dba BlackSea Technologies","DS-20250647","O2506-064",""
"SO-20250078","Maritime Applied Physics Corporation dba BlackSea Technologies","DS-20250647","O2506-064",""
"SO-20250078","Maritime Applied Physics Corporation dba BlackSea Technologies","DS-20250647","O2506-064",""
"SO-20250894","DigiKey","DS-20250648","O2506-065",""
"SO-20250772","Arete","DS-20250649","O2506-066",""
"SO-20250551","Aerflite Canada Inc.","DS-20250650","O2506-067",""
"SO-20250824","Detroit Diesel Corporation","DS-20250651","O2506-068",""
"SO-20250658","Flanders Inc","DS-20250652","O2506-069",""
"SO-20250784","Flanders Inc","DS-20250653","O2506-070",""
"SO-20250665","FireFly Automatix, Inc.","DS-20250654","O2506-071",""
"SO-20250771","Virginia Tech Transportation Institute","DS-20250655","O2506-072",""
"SO-20250715","Yokohama Tire Corporation","DS-20250656","O2506-073",""
"SO-20250758","Seafloor Systems, Inc","DS-20250657","O2506-074",""
"SO-20250242","Aerflite Canada Inc.","DS-20250658","O2506-075",""
"SO-20250643","University of Illinois Urbana-Champaign","DS-20250660","O2506-076",""
"SO-20250744","COAST Automation","DS-20250661","O2506-077",""
"SO-20250673","Novatel","DS-20250662","O2506-078",""
"SO-20250885","Sami Agtech Inc","DS-20250663","O2506-079",""
"SO-20250389","Urban Transportation Associates","DS-20250664","O2506-080",""
"SO-20250869","Echodyne Corp","DS-20250665","O2506-081",""
"SO-20250660","Evolution Motion Solutions","DS-20250666","O2506-082",""
"SO-20250875","W5 Engineering","DS-20250667","O2506-083",""
"SO-20250709","NASA/Johnson Space Center","DS-20250668","O2506-084",""
"SO-20250736","MIT Lincoln Laboratory","DS-20250669","O2506-085",""
"SO-20250915","Ruby Robotics","DS-20250670","O2506-086",""
"SO-20250880","AeroVect Technologies Inc.","DS-20250671","O2506-087",""
"SO-20250773","Advantage Electric Supply","DS-20250673","O2506-088",""
"SO-20250762","Aurrigo Canada Ltd","DS-20250674","O2506-089",""
"SO-20250707","A? by Airbus","DS-20250675","O2506-090",""
"SO-20250783","Texas A&M University - Bush Combat Development Complex","DS-20250676","O2506-091",""
"SO-20250860","SVS-Vistek Inc","DS-20250677","O2506-092",""
"SO-20250801","Coleman Technologies, Inc. DBA Sciotex","DS-20250678","O2506-093",""
"SO-20250892","COAST Automation","DS-20250679","O2506-094",""
"SO-20250493","Aerflite Canada Inc.","DS-20250680","O2506-095",""
"SO-20250493","Aerflite Canada Inc.","DS-20250680","O2506-095",""
"SO-20250918","Industrial PC","DS-20250681","O2506-096",""
"SO-20250344","M3 Technology","DS-20250682","O2506-097",""
"SO-20250381","M3 Technology","DS-20250682","O2506-097",""
"SO-20250382","M3 Technology","DS-20250682","O2506-097",""
"SO-20250382","M3 Technology","DS-20250682","O2506-097",""
"SO-20250381","M3 Technology","DS-20250682","O2506-097",""
"SO-20250344","M3 Technology","DS-20250682","O2506-097",""
"SO-20250876","Candela Technologies Inc","DS-20250683","O2506-098",""
"SO-20250878","COAST Automation","DS-20250684","O2506-099",""
"SO-20250923","COAST Automation","DS-20250684","O2506-099",""
"SO-20250823","MEDATech/Borterra","DS-20250685","O2506-100",""
"SO-20250804","Laserax","DS-20250686","O2506-101",""
"SO-20250887","Matthews International","DS-20250689","O2507-001",""
"SO-20250791","Automated Environments","DS-20250689","O2507-002",""
"SO-20250768","FoxEyes Corporation","DS-20250690","O2507-003",""
"SO-20250848","Scout AI Inc.","DS-20250691","O2507-004",""
"SO-20250670","Neya Systems","DS-20250692","O2507-005",""
"SO-20250837","FK MACHINERY LIMITED","DS-20250693","O2507-006",""
"SO-20250764","University of California San Diego","DS-20250696","O2507-007",""
"SO-20250716","College of Engineering - Center for Environmental Research and Technology","DS-20250697","O2507-008",""
"SO-20250648","AIM Intelligent Machines","DS-20250698","O2507-009",""
"SO-20250926","Evolution Motion Solutions","DS-20250699","O2507-010",""
"SO-20250681","Keysight Technologies, Inc.","DS-20250900","O2507-011",""
"SO-20250589","Applied Intuition, Inc.","DS-20250702","O2507-012",""
"SO-20250695","International Road Dynamics Inc.","DS-20250703","O2507-013",""
"SO-20250493","Aerflite Canada Inc.","DS-20250704","O2507-014",""
"SO-20250886","Aerflite Canada Inc.","DS-20250705","O2507-015",""
"SO-20250412","Brunswick Corporation","DS-20250707","O2507-016",""
"SO-20250765","Benthic GeoScience Inc.","DS-20250706","O2507-017",""
"SO-20250383","M3 Technology","DS-20250708","O2507-018",""
"SO-20250383","M3 Technology","DS-20250708","O2507-018",""
"SO-20250733","DCS Corp","DS-20250709","O2507-019",""
"SO-20250785","Tenneco","DS-20250710","O2507-020",""
"SO-20250698","Fugro","DS-20250711","O2507-021",""
"SO-20250803","Laserax","DS-20250713","O2507-022",""
"SO-20250769","Flyscan Systems Inc.","DS-20250714","O2507-023",""
"SO-20250651","Raise Robotics","DS-20250715","O2507-024",""
"SO-20250677","ViDARR INC.","DS-20250716","O2507-025",""
"SO-20250325","Noah Medical Corporation","DS-20250717","O2507-026",""
"SO-20250699","Novatel","DS-20250718","O2507-027",""
"SO-20250737","RIOS Intelligent Machines","DS-20250719","O2507-028",""
"SO-20250883","Intertape Polymer Group (IPG)","DS-20250720","O2507-029",""
